what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568466668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568468589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568480835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568483529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568484724
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568485689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568486560
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568498761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568500251
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568502847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568504462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568520470
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412568521538
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568523367
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412568523412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568545885
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568547604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568548341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568551268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568552068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568553027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568553720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412568560456
